"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Annandale","$1,250-$1,499 ($65,000-$77,999)",660
"Persons Place of Usual Residence","Annandale","$1,500-$1,749 ($78,000-$90,999)",499
"Persons Place of Usual Residence","Annandale","$1,750-$1,999 ($91,000-$103,999)",347
"Persons Place of Usual Residence","Annandale","$2,000-$2,999 ($104,000-$155,999)",517
"Persons Place of Usual Residence","Annandale","$3,000 or more ($156,000 or more)",223
"Persons Place of Usual Residence","Annandale","Not stated",927
"Persons Place of Usual Residence","Annandale","Not applicable",1824
"Persons Place of Usual Residence","Annandale","Total",10066
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","Negative income",22
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","Nil income",165
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$1-$149 ($1-$7,799)",123
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$150-$299 ($7,800-$15,599)",146
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$300-$399 ($15,600-$20,799)",185
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$400-$499 ($20,800-$25,999)",279
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$500-$649 ($26,000-$33,799)",213
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$650-$799 ($33,800-$41,599)",170
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$800-$999 ($41,600-$51,999)",177
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$1,000-$1,249 ($52,000-$64,999)",215
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$1,250-$1,499 ($65,000-$77,999)",159
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$1,500-$1,749 ($78,000-$90,999)",156
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$1,750-$1,999 ($91,000-$103,999)",107
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$2,000-$2,999 ($104,000-$155,999)",162
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","$3,000 or more ($156,000 or more)",127
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","Not stated",320
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","Not applicable",568
"Persons Place of Usual Residence","Belgian Gardens - Pallarenda","Total",3284
"Persons Place of Usual Residence","Bohle Plains","Negative income",18
"Persons Place of Usual Residence","Bohle Plains","Nil income",440
"Persons Place of Usual Residence","Bohle Plains","$1-$149 ($1-$7,799)",241
"Persons Place of Usual Residence","Bohle Plains","$150-$299 ($7,800-$15,599)",318
"Persons Place of Usual Residence","Bohle Plains","$300-$399 ($15,600-$20,799)",327
"Persons Place of Usual Residence","Bohle Plains","$400-$499 ($20,800-$25,999)",325
"Persons Place of Usual Residence","Bohle Plains","$500-$649 ($26,000-$33,799)",341
"Persons Place of Usual Residence","Bohle Plains","$650-$799 ($33,800-$41,599)",426
"Persons Place of Usual Residence","Bohle Plains","$800-$999 ($41,600-$51,999)",479
"Persons Place of Usual Residence","Bohle Plains","$1,000-$1,249 ($52,000-$64,999)",560
"Persons Place of Usual Residence","Bohle Plains","$1,250-$1,499 ($65,000-$77,999)",494
"Persons Place of Usual Residence","Bohle Plains","$1,500-$1,749 ($78,000-$90,999)",429
"Persons Place of Usual Residence","Bohle Plains","$1,750-$1,999 ($91,000-$103,999)",258
"Persons Place of Usual Residence","Bohle Plains","$2,000-$2,999 ($104,000-$155,999)",306
"Persons Place of Usual Residence","Bohle Plains","$3,000 or more ($156,000 or more)",111
"Persons Place of Usual Residence","Bohle Plains","Not stated",354
"Persons Place of Usual Residence","Bohle Plains","Not applicable",1802
"Persons Place of Usual Residence","Bohle Plains","Total",7235
"Persons Place of Usual Residence","Condon - Rasmussen","Negative income",37
"Persons Place of Usual Residence","Condon - Rasmussen","Nil income",678
"Persons Place of Usual Residence","Condon - Rasmussen","$1-$149 ($1-$7,799)",380
"Persons Place of Usual Residence","Condon - Rasmussen","$150-$299 ($7,800-$15,599)",680
"Persons Place of Usual Residence","Condon - Rasmussen","$300-$399 ($15,600-$20,799)",770
"Persons Place of Usual Residence","Condon - Rasmussen","$400-$499 ($20,800-$25,999)",726
"Persons Place of Usual Residence","Condon - Rasmussen","$500-$649 ($26,000-$33,799)",716
"Persons Place of Usual Residence","Condon - Rasmussen","$650-$799 ($33,800-$41,599)",667
"Persons Place of Usual Residence","Condon - Rasmussen","$800-$999 ($41,600-$51,999)",746
"Persons Place of Usual Residence","Condon - Rasmussen","$1,000-$1,249 ($52,000-$64,999)",701
"Persons Place of Usual Residence","Condon - Rasmussen","$1,250-$1,499 ($65,000-$77,999)",512
"Persons Place of Usual Residence","Condon - Rasmussen","$1,500-$1,749 ($78,000-$90,999)",339
"Persons Place of Usual Residence","Condon - Rasmussen","$1,750-$1,999 ($91,000-$103,999)",193
"Persons Place of Usual Residence","Condon - Rasmussen","$2,000-$2,999 ($104,000-$155,999)",199
"Persons Place of Usual Residence","Condon - Rasmussen","$3,000 or more ($156,000 or more)",59
"Persons Place of Usual Residence","Condon - Rasmussen","Not stated",724
"Persons Place of Usual Residence","Condon - Rasmussen","Not applicable",2351
"Persons Place of Usual Residence","Condon - Rasmussen","Total",10476
"Persons Place of Usual Residence","Cranbrook","Negative income",27
"Persons Place of Usual Residence","Cranbrook","Nil income",388
"Persons Place of Usual Residence","Cranbrook","$1-$149 ($1-$7,799)",225
"Persons Place of Usual Residence","Cranbrook","$150-$299 ($7,800-$15,599)",424
"Persons Place of Usual Residence","Cranbrook","$300-$399 ($15,600-$20,799)",458
"Persons Place of Usual Residence","Cranbrook","$400-$499 ($20,800-$25,999)",474
"Persons Place of Usual Residence","Cranbrook","$500-$649 ($26,000-$33,799)",408
"Persons Place of Usual Residence","Cranbrook","$650-$799 ($33,800-$41,599)",424
"Persons Place of Usual Residence","Cranbrook","$800-$999 ($41,600-$51,999)",447
"Persons Place of Usual Residence","Cranbrook","$1,000-$1,249 ($52,000-$64,999)",365
"Persons Place of Usual Residence","Cranbrook","$1,250-$1,499 ($65,000-$77,999)",275
"Persons Place of Usual Residence","Cranbrook","$1,500-$1,749 ($78,000-$90,999)",205
"Persons Place of Usual Residence","Cranbrook","$1,750-$1,999 ($91,000-$103,999)",140
"Persons Place of Usual Residence","Cranbrook","$2,000-$2,999 ($104,000-$155,999)",148
"Persons Place of Usual Residence","Cranbrook","$3,000 or more ($156,000 or more)",51
"Persons Place of Usual Residence","Cranbrook","Not stated",424
"Persons Place of Usual Residence","Cranbrook","Not applicable",1021
"Persons Place of Usual Residence","Cranbrook","Total",5913
"Persons Place of Usual Residence","Deeragun","Negative income",71
"Persons Place of Usual Residence","Deeragun","Nil income",1258
"Persons Place of Usual Residence","Deeragun","$1-$149 ($1-$7,799)",632
"Persons Place of Usual Residence","Deeragun","$150-$299 ($7,800-$15,599)",910
"Persons Place of Usual Residence","Deeragun","$300-$399 ($15,600-$20,799)",948
"Persons Place of Usual Residence","Deeragun","$400-$499 ($20,800-$25,999)",963
"Persons Place of Usual Residence","Deeragun","$500-$649 ($26,000-$33,799)",1156
"Persons Place of Usual Residence","Deeragun","$650-$799 ($33,800-$41,599)",1410
"Persons Place of Usual Residence","Deeragun","$800-$999 ($41,600-$51,999)",1625
"Persons Place of Usual Residence","Deeragun","$1,000-$1,249 ($52,000-$64,999)",1801
"Persons Place of Usual Residence","Deeragun","$1,250-$1,499 ($65,000-$77,999)",1419
"Persons Place of Usual Residence","Deeragun","$1,500-$1,749 ($78,000-$90,999)",1131
"Persons Place of Usual Residence","Deeragun","$1,750-$1,999 ($91,000-$103,999)",653
"Persons Place of Usual Residence","Deeragun","$2,000-$2,999 ($104,000-$155,999)",833
"Persons Place of Usual Residence","Deeragun","$3,000 or more ($156,000 or more)",221
"Persons Place of Usual Residence","Deeragun","Not stated",1351
"Persons Place of Usual Residence","Deeragun","Not applicable",6022
"Persons Place of Usual Residence","Deeragun","Total",22405
"Persons Place of Usual Residence","Douglas","Negative income",30
"Persons Place of Usual Residence","Douglas","Nil income",949
"Persons Place of Usual Residence","Douglas","$1-$149 ($1-$7,799)",523
"Persons Place of Usual Residence","Douglas","$150-$299 ($7,800-$15,599)",718
"Persons Place of Usual Residence","Douglas","$300-$399 ($15,600-$20,799)",346
"Persons Place of Usual Residence","Douglas","$400-$499 ($20,800-$25,999)",273
"Persons Place of Usual Residence","Douglas","$500-$649 ($26,000-$33,799)",370
"Persons Place of Usual Residence","Douglas","$650-$799 ($33,800-$41,599)",323
"Persons Place of Usual Residence","Douglas","$800-$999 ($41,600-$51,999)",395
"Persons Place of Usual Residence","Douglas","$1,000-$1,249 ($52,000-$64,999)",515
"Persons Place of Usual Residence","Douglas","$1,250-$1,499 ($65,000-$77,999)",479
"Persons Place of Usual Residence","Douglas","$1,500-$1,749 ($78,000-$90,999)",393
"Persons Place of Usual Residence","Douglas","$1,750-$1,999 ($91,000-$103,999)",243
"Persons Place of Usual Residence","Douglas","$2,000-$2,999 ($104,000-$155,999)",338
"Persons Place of Usual Residence","Douglas","$3,000 or more ($156,000 or more)",172
"Persons Place of Usual Residence","Douglas","Not stated",465
"Persons Place of Usual Residence","Douglas","Not applicable",1212
"Persons Place of Usual Residence","Douglas","Total",7741
"Persons Place of Usual Residence","Garbutt - West End","Negative income",22
"Persons Place of Usual Residence","Garbutt - West End","Nil income",263
"Persons Place of Usual Residence","Garbutt - West End","$1-$149 ($1-$7,799)",178
"Persons Place of Usual Residence","Garbutt - West End","$150-$299 ($7,800-$15,599)",447
"Persons Place of Usual Residence","Garbutt - West End","$300-$399 ($15,600-$20,799)",484
"Persons Place of Usual Residence","Garbutt - West End","$400-$499 ($20,800-$25,999)",487
"Persons Place of Usual Residence","Garbutt - West End","$500-$649 ($26,000-$33,799)",418
"Persons Place of Usual Residence","Garbutt - West End","$650-$799 ($33,800-$41,599)",443
"Persons Place of Usual Residence","Garbutt - West End","$800-$999 ($41,600-$51,999)",465
"Persons Place of Usual Residence","Garbutt - West End","$1,000-$1,249 ($52,000-$64,999)",460
"Persons Place of Usual Residence","Garbutt - West End","$1,250-$1,499 ($65,000-$77,999)",344
"Persons Place of Usual Residence","Garbutt - West End","$1,500-$1,749 ($78,000-$90,999)",241
"Persons Place of Usual Residence","Garbutt - West End","$1,750-$1,999 ($91,000-$103,999)",173
"Persons Place of Usual Residence","Garbutt - West End","$2,000-$2,999 ($104,000-$155,999)",215
"Persons Place of Usual Residence","Garbutt - West End","$3,000 or more ($156,000 or more)",69
"Persons Place of Usual Residence","Garbutt - West End","Not stated",804
"Persons Place of Usual Residence","Garbutt - West End","Not applicable",1020
"Persons Place of Usual Residence","Garbutt - West End","Total",6532
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","Negative income",21
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","Nil income",403
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$1-$149 ($1-$7,799)",259
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$150-$299 ($7,800-$15,599)",514
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$300-$399 ($15,600-$20,799)",642
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$400-$499 ($20,800-$25,999)",605
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$500-$649 ($26,000-$33,799)",546
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$650-$799 ($33,800-$41,599)",519
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$800-$999 ($41,600-$51,999)",548
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$1,000-$1,249 ($52,000-$64,999)",572
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$1,250-$1,499 ($65,000-$77,999)",376
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$1,500-$1,749 ($78,000-$90,999)",264
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$1,750-$1,999 ($91,000-$103,999)",156
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$2,000-$2,999 ($104,000-$155,999)",135
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","$3,000 or more ($156,000 or more)",34
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","Not stated",500
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","Not applicable",1640
"Persons Place of Usual Residence","Gulliver - Currajong - Vincent","Total",7728
"Persons Place of Usual Residence","Heatley","Negative income",8
"Persons Place of Usual Residence","Heatley","Nil income",250
"Persons Place of Usual Residence","Heatley","$1-$149 ($1-$7,799)",154
"Persons Place of Usual Residence","Heatley","$150-$299 ($7,800-$15,599)",291
"Persons Place of Usual Residence","Heatley","$300-$399 ($15,600-$20,799)",345
"Persons Place of Usual Residence","Heatley","$400-$499 ($20,800-$25,999)",368
"Persons Place of Usual Residence","Heatley","$500-$649 ($26,000-$33,799)",283
"Persons Place of Usual Residence","Heatley","$650-$799 ($33,800-$41,599)",282
"Persons Place of Usual Residence","Heatley","$800-$999 ($41,600-$51,999)",264
"Persons Place of Usual Residence","Heatley","$1,000-$1,249 ($52,000-$64,999)",254
"Persons Place of Usual Residence","Heatley","$1,250-$1,499 ($65,000-$77,999)",159
"Persons Place of Usual Residence","Heatley","$1,500-$1,749 ($78,000-$90,999)",128
"Persons Place of Usual Residence","Heatley","$1,750-$1,999 ($91,000-$103,999)",58
"Persons Place of Usual Residence","Heatley","$2,000-$2,999 ($104,000-$155,999)",69
"Persons Place of Usual Residence","Heatley","$3,000 or more ($156,000 or more)",22
"Persons Place of Usual Residence","Heatley","Not stated",298
"Persons Place of Usual Residence","Heatley","Not applicable",801
"Persons Place of Usual Residence","Heatley","Total",4036
"Persons Place of Usual Residence","Hermit Park - Rosslea","Negative income",22
"Persons Place of Usual Residence","Hermit Park - Rosslea","Nil income",280
"Persons Place of Usual Residence","Hermit Park - Rosslea","$1-$149 ($1-$7,799)",154
"Persons Place of Usual Residence","Hermit Park - Rosslea","$150-$299 ($7,800-$15,599)",324
"Persons Place of Usual Residence","Hermit Park - Rosslea","$300-$399 ($15,600-$20,799)",316
"Persons Place of Usual Residence","Hermit Park - Rosslea","$400-$499 ($20,800-$25,999)",397
"Persons Place of Usual Residence","Hermit Park - Rosslea","$500-$649 ($26,000-$33,799)",331
"Persons Place of Usual Residence","Hermit Park - Rosslea","$650-$799 ($33,800-$41,599)",338
"Persons Place of Usual Residence","Hermit Park - Rosslea","$800-$999 ($41,600-$51,999)",353
"Persons Place of Usual Residence","Hermit Park - Rosslea","$1,000-$1,249 ($52,000-$64,999)",403
"Persons Place of Usual Residence","Hermit Park - Rosslea","$1,250-$1,499 ($65,000-$77,999)",252
"Persons Place of Usual Residence","Hermit Park - Rosslea","$1,500-$1,749 ($78,000-$90,999)",261
"Persons Place of Usual Residence","Hermit Park - Rosslea","$1,750-$1,999 ($91,000-$103,999)",141
"Persons Place of Usual Residence","Hermit Park - Rosslea","$2,000-$2,999 ($104,000-$155,999)",177
"Persons Place of Usual Residence","Hermit Park - Rosslea","$3,000 or more ($156,000 or more)",61
"Persons Place of Usual Residence","Hermit Park - Rosslea","Not stated",416
